product_id,product_title,rating,total_reviews,price,top_reviews
itm50f720fdcec51,"Apple iPhone 16 Pro (White Titanium, 128 GB)",4.6,144,"₹74,900","5 Great product Very good product. READ MORE Vijay Chandra Certified Buyer , Agra 1 month ago 13 0 Permalink Report Abuse || 5 Super! Excellent performance, no heating issue and descent camera quality . Desert titanium looks better when compared to natural titanium . READ MORE Ankit Yadav Certified Buyer , Bareilly 5 months ago 92 23 Permalink Report Abuse"
itmdb77f40da6b6d,"Apple iPhone 14 (Blue, 128 GB)",4.6,"11,694","₹52,999","5 Fabulous! Best smart phone under this price range compare to other phones in 2023 if you see overall build quality, performance and Camera with autofocus and video action mode are awesome 50% extra RAM compared to iPhone 13 and other more features. Best time to upgrade to iPhone 14 . I am so happy See Low light photos are amazing.. READ MORE Rahul Prasad Certified Buyer , Debipur Jan, 2023 14389 3004 Permalink Report Abuse || 5 Just wow! Good READ MORE Avi Nash Certified Buyer , Bengaluru Feb, 2023 7092 1457 Permalink Report Abuse"
